강동구,50.5,42.5,42.2,42.2
송파구,59.6,51.6,46.5,46.5
강남구,46.1,38.1,44.6,40.6
서초구,47,39,43.2,43.2
관악구,37.4,33.4,37,44.2
동작구,53.5,45.5,37.2,37.2
영등포구,52.5,44.5,44.1,44.1
금천구,54.8,46.8,40.2,40.2
구로구,58.7,50.7,40.5,40.5
강서구,56,48,48.4,48.4
